	tweet_textual_content	len	ID	Date	Source	Likes	RTs
23	@amooni_97 شاهدي John Wick اكشن وقتال له جزئين نزلوا وجزء في السينما ممتاز ✅	76	1140957616203620352	Tue Jun 18 12:21:08 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
24	@psychoonacid @jeremgrf @MdkFBG Je comprends tes arguments mais rockerman, John wick et Glass ?!! Srx 🤨	104	1140956056820035584	Tue Jun 18 12:14:56 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
25	RT @3rdBabyRhoades: [John Wick voice] People keep asking me if I'm baby and I haven't really had an answer, but yeah, I'm thinking I'm baby.	140	1140955593366286337	Tue Jun 18 12:13:06 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	5
26	@ODEONCinemas how come movies don't last as long in the Odeon than in other cinemas? Was hoping to see John Wick 3… https://t.co/jmzoyxudCD	139	1140957453900746759	Tue Jun 18 12:20:29 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
27	After I see Detective Pikachu I'm torn between Godzilla and John Wick...	72	1140954226576646144	Tue Jun 18 12:07:40 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
28	"@NadaShireef 😂😂 
لو اكشن (john wick باجزاءه - kingsmen باجزاءه ) 
رومانسي (winter tale - tha age of adaline -tha fa… https://t.co/5L6B9gIwmN"	142	1140954246134865920	Tue Jun 18 12:07:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
29	@KESANK31 @jeremgrf @MdkFBG Rocketman et glass ok javoue j'ai forcé mdrr mais John wick jle trouve vraiment mieux qu'endgame sur le coup	136	1140956248466165760	Tue Jun 18 12:15:42 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
30	John wick three was just what I needed today! 👌	48	1140957452738809858	Tue Jun 18 12:20:29 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
31	@AyenWay Boba yaga yang dalam john wick tu	42	1140954490696130560	Tue Jun 18 12:08:43 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
32	"14. John Wick Chapter 2

Nota: 9.5/10

#CineQueHeVistoEn2019 https://t.co/hTvELwmxrY"	84	1140957432031731712	Tue Jun 18 12:20:24 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
