	tweet_textual_content	len	ID	Date	Source	Likes	RTs
191	Bị chê tơi tả, ‘X-men: Phượng hoàng bóng tối’ đứng trước nguy cơ thua lỗ nặng | Văn hóa https://t.co/R8mdFrnzUO https://t.co/W2OhEO8nl6	135	1140709994326888448	Mon Jun 17 19:57:10 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0
192	@BrewviesWthMatt @JTEmoviethinks Absolutely nail on the head there fella. I thought apocalypse was the worst x-men… https://t.co/LkrYmphCMo	139	1140710060420734977	Mon Jun 17 19:57:26 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
193	RT @Marvel: The next seminal moment in the ongoing history of the X-Men is almost here: HOUSE OF X and POWERS OF X by writer @JHickman will…	140	1140711171873546240	Mon Jun 17 20:01:51 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193
194	"RT @modelpress: 日本一のコスプレイヤー・えなこ、ダーク・フェニックスのSEXYコスプレ披露＜X-MEN：ダーク・フェニックス＞ #えなこ #ダークフェニックス @enako_cos 【ほか写真あり】

https://t.co/xHhduLRkVS"	132	1140713787281907712	Mon Jun 17 20:12:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	36
195	@DanChiu4 Pretty much always, yes. Exception was X-Men First Class, simply because there was no time to go through… https://t.co/q3ecDQS1s7	139	1140713157578514432	Mon Jun 17 20:09:44 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	1	0
196	@Styleflix Frag mich doch 😜 aktuell läuft: Men in Black, John Wick 3, Aladdin, Rocketman, X-Men, Godzilla 2, Ma - S… https://t.co/t7CykM2Gx5	140	1140712886811148288	Mon Jun 17 20:08:40 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
197	RT @Marvel: The next seminal moment in the ongoing history of the X-Men is almost here: HOUSE OF X and POWERS OF X by writer @JHickman will…	140	1140712645802242050	Mon Jun 17 20:07:42 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193
198	Can we get some ethnic minority-LGBTQ+ X-Men writers, already?	62	1140713381839740928	Mon Jun 17 20:10:38 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
199	RT @Marvel: The next seminal moment in the ongoing history of the X-Men is almost here: HOUSE OF X and POWERS OF X by writer @JHickman will…	140	1140712809128439809	Mon Jun 17 20:08:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193
200	RT @acidp4nic: X-Men: Evolution https://t.co/Chct5AoqNU	55	1140713431374422016	Mon Jun 17 20:10:50 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	357
