	tweet_textual_content	len	ID	Date	Source	Likes	RTs
3175	I've just watched episode S02E06 of Marvel's Daredevil! #daredevil #TVTime #tvtime https://t.co/HyDiob6csi https://t.co/VE4PlIvsue	130	1140702399155322881	Mon Jun 17 19:26:59 +0000 2019	"<a href=""https://www.tvtime.com"" rel=""nofollow"">TV Time, TV show tracker</a>"	0	0
3176	"RT @lokistansw: o elenco de endgame: a capitã é a mais forte de endgame 
os diretores: a capitã é a mais forte de endgame 
os roteiristas:…"	139	1140702200060162050	Mon Jun 17 19:26:12 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	144
3177	RT @BastVilard: Cuando se acabó GOT, cuando finalizó la etapa más importante de Marvel y cuando ya no veíamos esperanza. Suzanne Collins an…	140	1140702273754009602	Mon Jun 17 19:26:29 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	5
3178	RT @carolsmjolnir: i will NEVER shut up about thor's beard in endgame https://t.co/02Wm4PVc74	93	1140702339675774977	Mon Jun 17 19:26:45 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	49
3179	RT @RinneganEyed: Marvel fans after watching 1 episode of Naruto https://t.co/JRQfliRT97	88	1140702334483357696	Mon Jun 17 19:26:44 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	420
3180	RT @sanverssendgame: Sanvers is endgame https://t.co/NBHnIzdZDg	63	1140702282729820166	Mon Jun 17 19:26:32 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	3
3181	"RT @avengerpretty: ""quão poderosa é capitã marvel?""

""realmente poder...""

- não é tão poderosa quanto o thor

kkkkk mano eu amo o fato de…"	139	1140702268020445184	Mon Jun 17 19:26:28 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	45
3182	@K44RO @Notsosmartguy95 @Marvel DONT YOU OWO ME	47	1140702384781443072	Mon Jun 17 19:26:56 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
3183	"RT @seangallowayart: Quick morning #hulk #timelapse #sketch warmup.
•
•
#seangallowayart #marvel #fanart #artprocess #artinprogress #comics…"	140	1140702200169226247	Mon Jun 17 19:26:12 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	3
3184	RT @Marvel: #MarvelComics https://t.co/VVIX4bkRyf	49	1140702252576976897	Mon Jun 17 19:26:24 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1303
