4	tweet_textual_content	len	ID	Date	Source	Likes	RTs
21	aladdin was amazing in case anyone was wondering	48	1140949305576034305	Tue Jun 18 11:48:06 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
22	"RT @sj_charts: #PinkMagic DIGITAL STREAM:

🎧Melon:https://t.co/AXg5NP9L0B
🎧FLO:https://t.co/jl5M6SIyO2
🎧Genie:https://t.co/wusx6Taw8F
🎧Nave…"	144	1140949395396890630	Tue Jun 18 11:48:28 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	107
23	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949229625417738	Tue Jun 18 11:47:48 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	2684
24	"RT @saddiepunk: aladdin: *risk his life only for princess jasmine*

jafar: https://t.co/6q90ibHXIx"	98	1140949367601295360	Tue Jun 18 11:48:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	676
25	RT @MenaMassoud: Smiling because #Aladdin is the number 1 movie in the UK for the 4th weekend in a row! Thanks so much for all your support…	140	1140949474975653888	Tue Jun 18 11:48:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6120
26	"RT @VCOE_AT: ""Ausgerechnet das klimaschädlichste Verkehrsmittel genießt umfangreiche Steuerprivilegien. Der steuerrechtliche Freiflug ist a…"	140	1140949184004145152	Tue Jun 18 11:47:37 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	17
27	"RT @TEAMBTS_VN: 🗓 ARMY FIGHTING

Các giải tiếp theo chúng ta sắp VOTE:
💥 Teen Choice Music Awards
💥 M2 x Genie Music Awards 
💥 Soribada

(B…"	144	1140948947252367361	Tue Jun 18 11:46:41 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	51
28	RT @nflying_charts: N.Flying’s Rooftop has surpassed 38 million streams on Genie.	81	1140949325339430914	Tue Jun 18 11:48:11 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7
29	RT @MenaMassoud: Yam jam. Fig jam. We got all the jams. What jam is your jam? #Aladdin https://t.co/SbN39kloMd	110	1140949133936611328	Tue Jun 18 11:47:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	3925
30	"RT @ColneMuni: 🎵Make way! Here he comes! Ring bells! Bang the drums! You're gonna love this guy!... Aladdin is coming to Colne! 🧞‍♂️

We're…"	142	1140949126735118337	Tue Jun 18 11:47:24 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4
31	RT @chuuzus: one of the most inspirational father &amp; son scenes from will smith and jaden smith. https://t.co/aGINTbR7Mp	123	1140949164760674305	Tue Jun 18 11:47:33 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	16108
32	"RT @hwieduwilt: Irgendwo im Bundesverkehrsministerium federt jetzt ein Beamter durch die Flure und genießt das ""told you so""-Gefühl seines…"	139	1140949537219129345	Tue Jun 18 11:49:02 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	28
33	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140949028303073281	Tue Jun 18 11:47:00 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	13938
34	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949490804953088	Tue Jun 18 11:48:51 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
35	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949275234512896	Tue Jun 18 11:47:59 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
36	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140949278098989056	Tue Jun 18 11:48:00 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	13938
37	RT @MenaMassoud: Smiling because #Aladdin is the number 1 movie in the UK for the 4th weekend in a row! Thanks so much for all your support…	140	1140949121349640192	Tue Jun 18 11:47:22 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6120
38	RT @nostalgiapt: Aladdin https://t.co/MyECXb1cxU	48	1140949305118908417	Tue Jun 18 11:48:06 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	107
