	tweet_textual_content	len	ID	Date	Source	Likes	RTs
21	RT @ganma104: 地球に悪戯してMIBに捕まったロキちゃん https://t.co/S1Ec2PSZUq	58	1140619344780468224	Mon Jun 17 13:56:58 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	838
22	"RT @HoshiKiyoshi: รีวิว MIB
1.คริส เฮมสเวิร์ธหล่อมาก
2.คริส เฮมสเวิร์ธหล่อมาก
3.คริส เฮมสเวิร์ธหล่อมาก
4.คริส เฮมสเวิร์ธหล่อมาก
.
.
.
.
10.…"	140	1140619783496323072	Mon Jun 17 13:58:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4300
23	I am in love with the double fine Les Twins! They were phenomenal in MIB International!!! Super talented and out of… https://t.co/tnDXeruwU1	140	1140619614445088769	Mon Jun 17 13:58:02 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
24	そういや映画といえばMIBが待って流れてこないけど…どうなんだろ	32	1140620064946737152	Mon Jun 17 13:59:49 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
25	"RT @CentrFit: What does it take to suit up for Men in Black™: International?
Chris Hemsworth's trainer &amp; Centr expert Luke Zocchi reveals C…"	144	1140620234887290884	Mon Jun 17 14:00:30 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	26
26	'Men In Black International' Takes Box Office Top Spot - https://t.co/5n6sl8atrX #BoxOffice https://t.co/SB3m3YOWJp	115	1140620517600219141	Mon Jun 17 14:01:37 +0000 2019	"<a href=""http://www.nextscripts.com"" rel=""nofollow"">ChrisNextScripts</a>"	1	0
27	[再掲]INASOFT 管理人のひとこと 2019-06-17 「週末に映画2本連続で観てきた話。実写アラジンとMIBインターナショナルの感想。」 https://t.co/rYXHABALNN	97	1140620364529094657	Mon Jun 17 14:01:01 +0000 2019	"<a href=""http://www.inasoft.org/"" rel=""nofollow"">ecort</a>"	0	0
28	3D対応かな？#MIB一億総エージェント化計画 【本日6/14限定】映画『 #メンインブラック ：インターナショナル』公開記念♪ @akiko_lawson をフォローして下記のボタンからツイート！抽選でオフィシャルサングラスをプレゼント #ローソン	125	1140619790572068864	Mon Jun 17 13:58:44 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
29	RT @ganma104: 地球に悪戯してMIBに捕まったロキちゃん https://t.co/S1Ec2PSZUq	58	1140619395787456513	Mon Jun 17 13:57:10 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	838
30	RT @49dEk1ma4TA888: 本日「#メンインブラック：インターナショナル」公開！ユーザー名に😎を入れて下のボタンから #MIB一億総エージェント化計画　でつぶやいてくれた方の中から抽選で、豪華賞品をプレゼント！	111	1140619844418756609	Mon Jun 17 13:58:57 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	1
31	MIB:Iの小説面白い…HとTがリザと出会う短編も入っててまじでこれ小説読んだ方がより映画の世界わかるわ。	53	1140620168827031554	Mon Jun 17 14:00:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0
32	@dramaticlayla Spider-Man, Lion King and men in black🥺🥺🥺🥺we’re going together sis pls🥰🤲🏼	88	1140620760685432833	Mon Jun 17 14:02:35 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
33	今日mibの1と2見たから明日3見て映画スパイダーマン公開前に見に行きたいなぁ！	40	1140620190339620865	Mon Jun 17 14:00:19 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
34	RT @Variety_Film: Box Office: ‘Men in Black: International,’ ‘Shaft’ Add to Summer Sequel Slump https://t.co/fLTAXOednq https://t.co/e3u1Uj…	140	1140619516667453442	Mon Jun 17 13:57:39 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2
35	MiB international (@ AMC Veterans 24 - @amctheatres in Tampa, FL) https://t.co/GLr8IH2S8V	89	1140619676969512961	Mon Jun 17 13:58:17 +0000 2019	"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>"	0	0
36	"What If Everyone Was An MIB Agent? (#MIBInternational)
+
What If Everyone Was A Cop? (#Shaft)
 
🍎 Podcast:… https://t.co/MUcXihOZlE"	131	1140619857387491329	Mon Jun 17 13:59:00 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0	0
37	"RT @HoshiKiyoshi: รีวิว MIB
1.คริส เฮมสเวิร์ธหล่อมาก
2.คริส เฮมสเวิร์ธหล่อมาก
3.คริส เฮมสเวิร์ธหล่อมาก
4.คริส เฮมสเวิร์ธหล่อมาก
.
.
.
.
10.…"	140	1140620241463939074	Mon Jun 17 14:00:31 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4300
38	RT @HughJac17040683: MIBインターナショナルが少し物足りなかった原因はクリヘムとテッサトンプソンが悪かったんじゃなくて従来のウィル・スミスとトミー・リー・ジョーンズのコンビが最高すぎたからだと思う https://t.co/Kj5F8a61h9	133	1140619874814824448	Mon Jun 17 13:59:04 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	125
39	Box Office: ‘Men In Black: International’ Wins a Weak Weekend of Underperforming Sequels https://t.co/kb8ksGRBmc via @BreitbartNews	131	1140620250414628864	Mon Jun 17 14:00:34 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
40	Sinopsis Film Men in Black: International Berburu Alien dengan Rasa Baru https://t.co/DdDxIoX9hi https://t.co/I0XTGv2t9j	120	1140620110400372737	Mon Jun 17 14:00:00 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1	0
41	RT @akiko_lawson: 【本日6/14限定】映画『 #メンインブラック ：インターナショナル』公開記念♪ @akiko_lawson をフォローして下記のボタンからツイート！抽選でオフィシャルサングラスをプレゼント #ローソン #MIB一億総エージェント化計画 ht…	140	1140619738294280192	Mon Jun 17 13:58:31 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2308
42	RT @obujiru: MIBを見たよ。 https://t.co/ta902Lb4Vl	45	1140620376768073734	Mon Jun 17 14:01:04 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1510
43	RT @GuillaumeBixier: Les miracles, ça existe : chez nous, #Parasite fait plus d'entrées que Men in Black. À chaque séance. Depuis mercredi.…	140	1140619342809305088	Mon Jun 17 13:56:57 +0000 2019	"<a href=""https://play.google.com/store/apps/details?id=com.arthurivanets.owly"" rel=""nofollow"">Оwly</a>"	0	364
44	"RT @MenInBlackJP: #MIB 🌐インターナショナルで大ヒット😎✨

＼＼That's  was awesome‼️／／
#MIBinternational

映画『#メンインブラック：インターナショナル』大ヒット上映中🕶"	118	1140620593722617861	Mon Jun 17 14:01:55 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	127
45	@sebasckl I’ve got a list of movies. MIB will have to wait aftr Aladdin, Dark Phoenix, Lion King, MIB.	102	1140620037457207296	Mon Jun 17 13:59:43 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
46	RT @obujiru: MIBを見たよ。 https://t.co/ta902Lb4Vl	45	1140620323563302914	Mon Jun 17 14:00:51 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1510
47	Hindi ko tuloy napatapos yung MIB 😢	35	1140619610112135168	Mon Jun 17 13:58:01 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0
48	MIBみたーー	7	1140619393111449605	Mon Jun 17 13:57:09 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	2	0
49	#MIB一億総エージェント化計画 【本日6/14限定】映画『#メンインブラック：インターナショナル』公開記念♪ユーザー名に😎を入れて @UNITED_CINEMAS をフォローして下記のボタンからツイート！抽選で #ハミルトン 「… https://t.co/V12YFJfllz	140	1140620445621686272	Mon Jun 17 14:01:20 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
50	MIB✅😍	5	1140619691045474306	Mon Jun 17 13:58:20 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
51	"RT @eiga_natalie: 【映画動員ランキング】「アラジン」「MIB」が動員1位2位に、「ガルパン」「うたプリ」などアニメも健闘
https://t.co/EshywGvaPn

 #映画ランキング #アラジン #MIB #メンインブラック #ガルパン #utapri…"	140	1140620583643701250	Mon Jun 17 14:01:53 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	118
