	tweet_textual_content	len	ID	Date	Source	Likes	RTs
23	RT @martjohn18: Toy story la veo asi sea solo	45	1140938766166700034	Tue Jun 18 11:06:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	11
24	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938013423394817	Tue Jun 18 11:03:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8414
25	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938292810178560	Tue Jun 18 11:04:21 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	24149
26	"RT @taesartt: eu olhando pros meus brinquedos quando era mais nova depois de assistir toy story 
https://t.co/u4hFOGR79I"	120	1140938392223592448	Tue Jun 18 11:04:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	222
27	@realmattcooke Toy Story 3 is just a slightly worse version of Toy Story 2 but with a slightly better ending tbh....	116	1140938655311302656	Tue Jun 18 11:05:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
28	RT @naadinecr: Eu to só pela estreia do toy story 4 quinta 🥰	60	1140938161431953408	Tue Jun 18 11:03:49 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2
29	RT @neilalfrd: TOY STORY 4 IS A MUST	36	1140938069874319360	Tue Jun 18 11:03:28 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	33
30	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938621958197248	Tue Jun 18 11:05:39 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
31	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938380781506561	Tue Jun 18 11:04:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	24149
32	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938045425766400	Tue Jun 18 11:03:22 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8414
33	RT @jayvald_: Nicki got us living in toy story lmao we was barbies, then street fighters, now transformers	106	1140938118469758982	Tue Jun 18 11:03:39 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	137
34	Me distraigo con la copa america y de repente SAS me miro la 3ra de stranger, la 4ta de toy story y le entro a tu mamá ahna ki ve	129	1140938625519161344	Tue Jun 18 11:05:40 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
35	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938032335527942	Tue Jun 18 11:03:19 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
36	RT @ImagenRetro: Como vimos Toy Story 1 / Como veremos Toy Story 4. https://t.co/R7A1qUohiS	91	1140938016019668992	Tue Jun 18 11:03:15 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3236
37	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938491125207040	Tue Jun 18 11:05:08 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8414
38	RT @Pablomangv: Algún amigo fiel para ver toy story 4	53	1140937997447303174	Tue Jun 18 11:03:10 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	183
39	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938059615277057	Tue Jun 18 11:03:25 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
40	RT @neilalfrd: TOY STORY 4 IS A MUST	36	1140938497445941254	Tue Jun 18 11:05:10 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	33
41	RT @_hantunes: Queria ter amigos pra ir ver toy story 4 comigo	62	1140938657270046726	Tue Jun 18 11:05:48 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	5
42	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938187705069568	Tue Jun 18 11:03:56 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
43	"RT @falsoboris: You: ¿Por qué los rusos en ""Chernobyl"" hablan en inglés?
Me, an intellectual: ¿Por qué todos los juguetes de Toy Story, que…"	140	1140938382916411392	Tue Jun 18 11:04:42 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	28
44	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938743723057153	Tue Jun 18 11:06:08 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
